source code,label
"  public static Gfsh getInstance(boolean launchShell, String[] args, GfshConfig gfshConfig)
    throws ClassNotFoundException, IOException
  {
    if (instance == null) {
      synchronized (INSTANCE_LOCK) {
        if (instance == null) {
          instance = new Gfsh(launchShell, args, gfshConfig);
        }
      }
    }

    return instance;
  }",True
"  public static Gfsh getInstance(boolean launchShell, String[] args, GfshConfig gfshConfig)
    throws ClassNotFoundException, IOException
  {
    if (instance == null) {
      synchronized (INSTANCE_LOCK) {
        if (instance == null) {
          instance = new Gfsh(launchShell, args, gfshConfig);
          instance.executeInitFileIfPresent();
        }
      }
    }

    return instance;
  }",False
"  private void executeInitFileIfPresent() {

    String initFileName = this.gfshConfig.getInitFileName();
    if (initFileName != null) {
      this.gfshFileLogger.info(""Using "" + initFileName);
      try {
        File gfshInitFile = new File(initFileName);
        boolean continueOnError = false;
        this.executeScript(gfshInitFile, isQuietMode(), continueOnError);
      } catch (Exception exception) {
        this.gfshFileLogger.severe(initFileName, exception);
        setLastExecutionStatus(-1);
      }
    }

  }",False
"  public GfshConfig() {
    this(HISTORY_FILE.getAbsolutePath(), DEFAULT_PROMPT, MAX_HISTORY_SIZE, null, null, null, null);
  }",True
"
  public GfshConfig(String historyFileName, String defaultPrompt,
      int historySize, String logDir, Level logLevel, Integer logLimit,
      Integer logCount, String initFileName) {
    this.historyFileName = historyFileName;
    this.defaultPrompt   = defaultPrompt;
    this.historySize     = historySize;

    if (initFileName == null) {
      this.initFileName = this.searchForInitFileName();
    } else {
      this.initFileName = initFileName;
    }

    // Logger properties
    if (logDir == null) {
      this.logDir = System.getProperty(LOG_DIR_PROPERTY, ""."");
    } else {
      this.logDir = logDir;
    }
    if (logLevel == null) {
      this.logLevel = getLogLevel(System.getProperty(LOG_LEVEL_PROPERTY, DEFAULT_LOGLEVEL.getName()));
    } else {
      this.logLevel = logLevel;
    }
    if (logLimit == null) {
      this.logFileSizeLimit = getParsedOrDefault(System.getProperty(LOG_FILE_SIZE_LIMIT_PROPERTY), LOG_FILE_SIZE_LIMIT_PROPERTY, DEFAULT_LOGFILE_SIZE_LIMIT);
    } else {
      this.logFileSizeLimit = logLimit;
    }",False
"  private String getLoggerConfig() {
    StringBuilder builder = new StringBuilder();
    builder.append(""log-file=""+getLogFilePath()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-level=""+getLogLevel().getName()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-file-size-limit=""+getLogFileSizeLimit()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-disk-space-limit=""+getLogFileDiskLimit()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-count=""+getLogFileCount()).append(Gfsh.LINE_SEPARATOR);

    return builder.toString();
  }",True
"  private String getLoggerConfig() {
    StringBuilder builder = new StringBuilder();
    builder.append(
        ""init-file="" + (getInitFileName() == null ? """" : getInitFileName()))
        .append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-file=""+getLogFilePath()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-level=""+getLogLevel().getName()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-file-size-limit=""+getLogFileSizeLimit()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-disk-space-limit=""+getLogFileDiskLimit()).append(Gfsh.LINE_SEPARATOR);
    builder.append(""log-count=""+getLogFileCount()).append(Gfsh.LINE_SEPARATOR);

    return builder.toString();
  }",False
"  private String searchForInitFileName() {
    String homeDirectoryInitFileName = System.getProperty(""user.home"")
        + File.separatorChar + DEFAULT_INIT_FILE_NAME;
    String currentDirectoryInitFileName = System.getProperty(""user.dir"")
        + File.separatorChar + DEFAULT_INIT_FILE_NAME;
    String systemPropertyInitFileName = System.getProperty(INIT_FILE_PROPERTY);

    String[] initFileNames = { systemPropertyInitFileName,
        currentDirectoryInitFileName, homeDirectoryInitFileName };

    for (String initFileName : initFileNames) {
      if (IOUtils.isExistingPathname(initFileName)) {
        return initFileName;
      }
    }

    return null;
  }",False
"  public GfshConfig(String historyFileName, String defaultPrompt,
      int historySize, String logDir, Level logLevel, Integer logLimit,
      Integer logCount, String initFileName) {
    this.historyFileName = historyFileName;
    this.defaultPrompt   = defaultPrompt;
    this.historySize     = historySize;

    if (initFileName == null) {
      this.initFileName = this.searchForInitFileName();
    } else {
      this.initFileName = initFileName;
    }

    // Logger properties
    if (logDir == null) {
      this.logDir = System.getProperty(LOG_DIR_PROPERTY, ""."");
    } else {
      this.logDir = logDir;
    }
    if (logLevel == null) {
      this.logLevel = getLogLevel(System.getProperty(LOG_LEVEL_PROPERTY, DEFAULT_LOGLEVEL.getName()));
    } else {
      this.logLevel = logLevel;
    }
    if (logLimit == null) {
      this.logFileSizeLimit = getParsedOrDefault(System.getProperty(LOG_FILE_SIZE_LIMIT_PROPERTY), LOG_FILE_SIZE_LIMIT_PROPERTY, DEFAULT_LOGFILE_SIZE_LIMIT);
    } else {
      this.logFileSizeLimit = logLimit;
    }
    if (logCount == null) {
      // validation & correction to default is done in getLogFileCount()
      this.logFileDiskLimit = getParsedOrDefault(System.getProperty(LOG_DISK_SPACE_LIMIT_PROPERTY), LOG_DISK_SPACE_LIMIT_PROPERTY, DEFAULT_LOGFILE_DISK_USAGE);
    } else {
      this.logFileDiskLimit = logCount;
    }
  }",False
"  public GfshConfig() {
    this(HISTORY_FILE.getAbsolutePath(), DEFAULT_PROMPT, MAX_HISTORY_SIZE, null, null, null, null, null);
  }",False
